,movieID,genres,itemID
1176,1193,Drama,0
655,661,Animation|Children's|Musical,1
902,914,Musical|Romance,2
3339,3408,Drama,3
2286,2355,Animation|Children's|Comedy,4
1179,1197,Action|Adventure|Comedy|Romance,5
1267,1287,Action|Adventure|Drama,6
2735,2804,Comedy|Drama,7
590,594,Animation|Children's|Musical,8
907,919,Adventure|Children's|Drama|Musical,9
591,595,Animation|Children's|Musical,10
926,938,Musical,11
2329,2398,Drama,12
2849,2918,Comedy,13
1022,1035,Musical,14
2722,2791,Comedy,15
2618,2687,Animation|Children's,16
1949,2018,Animation|Children's,17
3036,3105,Drama,18
2728,2797,Comedy|Fantasy,19
2252,2321,Comedy,20
711,720,Animation,21
1250,1270,Comedy|Sci-Fi,22
523,527,Drama|War,23
2271,2340,Romance,24
47,48,Animation|Children's|Musical|Romance,25
1081,1097,Children's|Drama|Fantasy|Sci-Fi,26
1672,1721,Drama|Romance,27
1506,1545,Drama,28
735,745,Animation|Comedy|Thriller,29
2225,2294,Animation|Children's,30
3117,3186,Drama,31
1526,1566,Adventure|Animation|Children's|Comedy|Musical,32
584,588,Animation|Children's|Comedy|Musical,33
1838,1907,Animation|Children's,34
773,783,Animation|Children's|Musical,35
1768,1836,Drama,36
1009,1022,Animation|Children's|Musical,37
2693,2762,Thriller,38
148,150,Drama,39
0,1,Animation|Children's|Comedy,40
1892,1961,Drama,41
1893,1962,Drama,42
2623,2692,Action|Crime|Romance,43
257,260,Action|Adventure|Fantasy|Sci-Fi,44
1015,1028,Children's|Comedy|Musical,45
1016,1029,Animation|Children's|Musical,46
1189,1207,Drama,47
1959,2028,Action|Drama|War,48
527,531,Children's|Drama,49
3045,3114,Animation|Children's|Comedy,50
604,608,Crime|Drama|Thriller,51
1226,1246,Drama,52
1336,1357,Drama|Romance,53
2999,3068,Drama,54
1499,1537,Comedy,55
641,647,Drama|War,56
2125,2194,Action|Crime|Drama,57
642,648,Action|Adventure|Mystery,58
2199,2268,Crime|Drama,59
2559,2628,Action|Adventure|Fantasy|Sci-Fi,60
1087,1103,Drama,61
2847,2916,Action|Adventure|Sci-Fi|Thriller,62
3399,3468,Drama,63
1192,1210,Action|Adventure|Romance|Sci-Fi|War,64
1732,1792,Action|Thriller,65
1641,1687,Action|Thriller,66
1195,1213,Crime|Drama,67
3509,3578,Action|Drama,68
2812,2881,Action|Thriller,69
2961,3030,Comedy|Drama|Western,70
1199,1217,Drama|War,71
430,434,Action|Adventure|Crime,72
2057,2126,Action|Crime|Mystery|Thriller,73
3038,3107,Action|Drama,74
3039,3108,Comedy|Drama|Romance,75
2966,3035,Comedy|Drama|War,76
1233,1253,Drama|Sci-Fi,77
1568,1610,Action|Thriller,78
289,292,Action|Drama|Thriller,79
2167,2236,Drama,80
3002,3071,Drama,81
890,902,Drama|Romance,82
364,368,Action|Comedy|Western,83
1239,1259,Adventure|Comedy|Drama,84
3078,3147,Drama|Thriller,85
1505,1544,Action|Adventure|Sci-Fi|Thriller,86
1273,1293,Drama,87
1171,1188,Comedy|Romance,88
3186,3255,Comedy|Drama,89
3187,3256,Action|Thriller,90
3188,3257,Action|Drama|Romance|Thriller,91
108,110,Action|Drama|War,92
2209,2278,Action|Crime|Thriller,93
2421,2490,Action|Thriller,94
1766,1834,Drama|Thriller,95
3402,3471,Drama|Sci-Fi,96
585,589,Action|Sci-Fi|Thriller,97
1644,1690,Action|Horror|Sci-Fi,98
3585,3654,Action|Drama|War,99
2783,2852,Drama,100
1876,1945,Crime|Drama,101
970,982,Drama,102
1804,1873,Drama,103
2789,2858,Comedy|Drama,104
1207,1225,Drama,105
511,515,Drama,106
438,442,Action|Sci-Fi,107
2243,2312,Drama,108
262,265,Drama|Romance,109
1385,1408,Action|Romance|War,110
1068,1084,Crime|Drama,111
3630,3699,Adventure|Drama|Romance|Sci-Fi,112
476,480,Action|Adventure|Sci-Fi,113
1417,1442,Drama,114
1998,2067,Drama|Romance|War,115
1245,1265,Comedy|Romance,116
1349,1370,Action|Thriller,117
1740,1801,Action|Drama|Romance,118
1351,1372,Action|Adventure|Sci-Fi,119
2284,2353,Action|Thriller,120
3265,3334,Crime|Drama|Film-Noir|Thriller,121
2358,2427,Action|Drama|War,122
586,590,Adventure|Drama|Western,123
1178,1196,Action|Adventure|Drama|Sci-Fi|War,124
1513,1552,Action|Adventure|Thriller,125
727,736,Action|Adventure|Romance|Thriller,126
1180,1198,Action|Adventure,127
589,593,Drama|Thriller,128
2290,2359,Comedy,129
93,95,Action|Thriller,130
2648,2717,Comedy|Horror,131
2502,2571,Action|Sci-Fi|Thriller,132
1848,1917,Action|Adventure|Sci-Fi|Thriller,133
2327,2396,Comedy|Romance,134
3666,3735,Crime|Drama,135
1884,1953,Action|Crime|Drama|Thriller,136
1556,1597,Action|Mystery|Romance|Thriller,137
3740,3809,Comedy,138
1885,1954,Action|Drama,139
1886,1955,Drama,140
232,235,Comedy|Drama,141
1108,1124,Drama,142
1888,1957,Drama,143
161,163,Action|Romance|Thriller,144
20,21,Action|Comedy|Drama,145
163,165,Action|Thriller,146
1074,1090,Drama|War,147
376,380,Action|Adventure|Comedy|Romance,148
2432,2501,Drama,149
345,349,Action|Adventure|Thriller,150
453,457,Action|Thriller,151
1080,1096,Drama,152
908,920,Drama|Romance|War,153
455,459,Action,154
1491,1527,Action|Sci-Fi,155
3349,3418,Action|Drama,156
1364,1385,Action,157
3382,3451,Comedy|Drama,158
3026,3095,Drama,159
770,780,Action|Sci-Fi|War,160
494,498,Drama|Romance,161
2659,2728,Drama,162
1933,2002,Action|Comedy|Crime|Drama,163
1726,1784,Comedy|Drama,164
2874,2943,Drama|Romance,165
1937,2006,Action|Adventure|Romance,166
315,318,Drama,167
1899,1968,Comedy|Drama,168
3609,3678,Drama,169
1224,1244,Comedy|Drama|Romance,170
352,356,Comedy|Romance|War,171
1225,1245,Drama,172
3823,3893,Comedy|Thriller,173
1227,1247,Drama|Romance,174
3352,3421,Comedy,175
1595,1641,Comedy,176
1373,1394,Comedy,177
3465,3534,Comedy,178
102,104,Comedy,179
2666,2735,Action|Adventure|Comedy,180
1407,1431,Action|Comedy,181
3798,3868,Comedy,182
1063,1079,Comedy,183
2928,2997,Comedy,184
1573,1615,Adventure|Thriller,185
1271,1291,Action|Adventure,186
647,653,Action|Adventure|Fantasy,187
2098,2167,Action|Adventure|Horror,188
1539,1580,Action|Adventure|Comedy|Sci-Fi,189
3550,3619,Comedy,190
1035,1049,Action|Adventure,191
1241,1261,Action|Adventure|Comedy|Horror,192
548,552,Action|Adventure|Comedy,193
1246,1266,Western,194
724,733,Action|Adventure|Thriller,195
1357,1378,Action|Comedy|Western,196
1358,1379,Action|Comedy|Western,197
3483,3552,Comedy,198
1284,1304,Action|Comedy|Western,199
2401,2470,Adventure|Comedy,200
3099,3168,Adventure|Drama,201
2548,2617,Action|Adventure|Horror|Thriller,202
3602,3671,Comedy|Western,203
2802,2871,Adventure|Thriller,204
2046,2115,Action|Adventure,205
1120,1136,Comedy,206
2012,2081,Animation|Children's|Comedy|Musical|Romance,207
2882,2951,Action|Western,208
1196,1214,Action|Horror|Sci-Fi|Thriller,209
1023,1036,Action|Thriller,210
3633,3702,Action|Sci-Fi,211
2297,2366,Action|Adventure|Horror,212
1366,1387,Action|Horror,213
3458,3527,Action|Sci-Fi|Thriller,214
1183,1201,Action|Western,215
2878,2947,Action,216
1220,1240,Action|Sci-Fi|Thriller,217
2918,2987,Adventure|Animation|Film-Noir,218
2264,2333,Drama,219
1159,1175,Comedy|Sci-Fi,220
38,39,Comedy|Romance,221
285,288,Action|Thriller,222
2268,2337,Drama,223
1498,1535,Drama|Romance,224
1371,1392,Comedy|Drama,225
1439,1466,Crime|Drama,226
849,860,Comedy,227
1637,1683,Drama|Romance|Thriller,228
855,866,Crime|Drama|Romance|Thriller,229
1638,1684,Romance,230
2701,2770,Comedy,231
213,215,Drama|Romance,232
1706,1759,Drama,233
497,501,Drama,234
502,506,Drama,235
1230,1250,Drama|War,236
